Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,SC,V,CR,CO,NI,CU,ZN,GA,RB,SR,Y,ZR,NB,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,PB,TH,U
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",KYT133,BASALT,48.9,-91.5,2500,3175,3850,2997,2999.5,3002,0.000302693,50.1,1.28,15.49,8.81,0.15,4.71,12.22,3.6,0.23,0.1,50,344,312,,158,22,66,,,126,27,73,4.6,,47,5.32,14.1,2.2,10.59,3.24,1.01,3.97,0.73,4.67,1.03,2.94,0.43,2.72,0.42,,0.27,,0.4,0.09
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",KYT132,BASALT,49.2,-91,2500,3175,3850,2997,2999.5,3002,0.003466914,48.88,0.86,14.28,11.41,0.19,5.93,10.68,3.09,0.12,0.06,39,271,300,,159,179,93,,,163,20,45,1.9,,16,2.38,6.66,1.09,5.67,1.93,0.79,2.6,0.49,3.27,0.75,2.21,0.32,2.06,0.31,,0.11,,0.2,0.05
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",96KYT73,BASALT,49,-91,2500,3175,3850,2973,2986,2999,0.03882454,50.79,1.24,15.27,13.15,0.31,4.59,9.84,1.2,0.75,0.16,38,310,179,,91,73,75,,21.7,57,25.2,68.12,3.12,,135,4.21,11.02,1.63,8.29,2.59,0.81,2.89,0.49,3.96,0.9,2.53,0.4,2.52,0.42,1.96,0.23,,0.37,0.07
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",96KYT43,BASALT,49.2,-91,2500,3175,3850,2973,2986,2999,0.28335166,50.17,0.72,15.14,8.55,0.39,6.39,14.38,1.54,0.42,0.09,38,228,703,,195,31,73,,11,136,16.51,41.31,2.1,,121,2.87,7.73,1.07,5.28,1.67,0.62,1.95,0.34,2.66,0.6,1.63,0.26,1.59,0.27,1.15,0.15,,0.28,0.08
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",96KYT38,BASALT,49,-91,2500,3175,3850,2973,2986,2999,0.308213949,49.95,0.93,14.76,11.28,0.18,6.85,11.62,1.67,0.05,0.16,41,296,165,,92,106,78,,1.9,160,19.19,54.06,2.29,,53,3.58,9.49,1.38,6.99,2.12,0.71,2.46,0.42,3.14,0.71,2.01,0.32,1.9,0.28,1.56,0.16,,0.37,0.08
western superior province,"PLUME MAGMATISM AND CRUSTAL GROWTH AT 2.9 TO 3.0 GA IN THE STEEP ROCK AND LUMBY LAKE AREA, WESTERN SUPERIOR PROVINCE",96KYT85,BASALT,49,-91,2500,3175,3850,2973,2986,2999,0.004238529,48.13,1.91,14.12,16.59,0.58,4.01,9.87,1.41,0.77,0.25,34,360,79,,59,135,88,,11.7,131,32.32,116.52,5.2,,120,9.46,23.5,3.32,15.98,4.69,1.47,4.72,0.73,5.78,1.2,3.33,0.48,2.95,0.44,3.18,0.36,,0.97,0.21
western superior province,"PROGRESSIVE METAMORPHISM OF KOMATIITES AND RELATED ARCHEAN LAVAS OF THE ABITIBI AREA, CANADA",411B,BASALT,48.08,-80.08,2500,3175,3850,2673,2700,2727,0.999934673,47.7,0.61,16.2,12.1,0.2,6.48,12.9,2.96,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Province,"PROGRESSIVE METAMORPHISM OF KOMATIITES AND RELATED ARCHEAN LAVAS OF THE ABITIBI AREA, CANADA",837J,BASALT,48.2,-80.1,2500,3175,3850,2673,2700,2727,0.999934673,49.2,0.69,11.7,13.27,0.21,10.9,9.67,2.94,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Province,"PROGRESSIVE METAMORPHISM OF KOMATIITES AND RELATED ARCHEAN LAVAS OF THE ABITIBI AREA, CANADA",417,BASALT,47.6,-80.1,2500,3175,3850,2673,2700,2727,0.999934673,51.6,0.88,17.7,11.07,0.16,3.18,13.81,0.63,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Province,"PROGRESSIVE METAMORPHISM OF KOMATIITES AND RELATED ARCHEAN LAVAS OF THE ABITIBI AREA, CANADA",218,BASALT,48.3,-78.85,2500,3175,3850,2673,2700,2727,0.999836922,49.3,1.23,17,7.68,0.2,7.54,5.37,3.08,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Province,"PROGRESSIVE METAMORPHISM OF KOMATIITES AND RELATED ARCHEAN LAVAS OF THE ABITIBI AREA, CANADA",406A,BASALT,48.08,-80.08,2500,3175,3850,2673,2700,2727,0.999815524,47.8,1.29,13.3,12.1,0.18,8.7,9.57,2.83,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Gawler Craton,"PROVENANCE AND TECTONIC DEVELOPMENT OF THE LATE ARCHAEAN GAWLER CRATON, AUSTRALIA; U-PB ZIRCON, GEOCHEMICAL AND SM-ND ISOTOPIC IMPLICATIONS",613119,ANDESITE,-29.8,135.8,,2553,,2544,2553,2562,0.008477216,53.1,0.72,15,6.35,0.19,6.96,3.28,5.25,0.2,0.12,20,120,120,34.5,41,120,170,19,3.5,52,16,100,5.5,,40,13.5,25.5,4.7,19,3.7,0.68,2.5,0.4,3,0.59,1.8,0.3,2.1,0.32,4,,4,6,1.2
Central Gawler Craton,"PROVENANCE AND TECTONIC DEVELOPMENT OF THE LATE ARCHAEAN GAWLER CRATON, AUSTRALIA; U-PB ZIRCON, GEOCHEMICAL AND SM-ND ISOTOPIC IMPLICATIONS",613125,BASALT,-29.8,135.8,,2553,,2544,2553,2562,0.993455589,47.4,0.35,14,8.15,0.17,7.45,7.87,2.53,0.78,0.03,24,120,320,38.5,220,125,140,14.5,17.5,105,9.5,20,1.5,,200,5,9,1.6,6.5,1.4,0.41,1.15,0.2,1.6,0.32,0.95,0.15,1.05,0.15,0.5,,6,1.25,0.32
Kirkland Lake Area,"PROVENANCE OF IGNEOUS CLASTS IN CONGLOMERATES OF THE ARCHEAN TIMISKAMING GROUP, KIRKLAND LAKE AREA, ABITIBI GREENSTONE BELT, CANADA",39G,tholeiitic basalt,48.17,-79.75,2700,2700,2700,2670,2673,2676,0.999965906,51.4,0.5,11.1,10.8,0.08,11.3,3.71,0.65,0.54,0.03,,,2889,,916,0,124,,15,203,0,25,0,,237,,,,,,,,,,,,,,,,,0,,
Kirkland Lake Area,"PROVENANCE OF IGNEOUS CLASTS IN CONGLOMERATES OF THE ARCHEAN TIMISKAMING GROUP, KIRKLAND LAKE AREA, ABITIBI GREENSTONE BELT, CANADA",1W,tholeiitic basalt,48.17,-79.75,2700,2700,2700,2670,2673,2676,0.999892712,50.4,1.15,14.6,12.33,0,8.53,3.69,1.75,0.11,0.1,,371,163,,118,,167,,0,1366,17,24,0,,1193,,,,,,,,,,,,,,,,,,,
Kirkland Lake Area,"PROVENANCE OF IGNEOUS CLASTS IN CONGLOMERATES OF THE ARCHEAN TIMISKAMING GROUP, KIRKLAND LAKE AREA, ABITIBI GREENSTONE BELT, CANADA",43B,tholeiitic basalt,48.17,-79.75,2700,2700,2700,2670,2673,2676,0.999984145,45.9,0.89,16.5,5.84,0.16,2.96,11.1,6.25,0.4,0.25,,,171,,0,0,11,,18,217,13,99,0,,166,,,,,,,,,,,,,,,,,0,,
Abitibi,"QUANTITATIVE TRACE-ELEMENT MODELLING OF THE CRYSTALLIZATION HISTORY OF THE KINOJÉVIS AND BLAKE RIVER GROUPS, ABITIBI GREENSTONE BELT, ONTARIO",F-637,BASALT,48.4,-81.3,2710,2710,2710,2698,2704,2710,0.999813139,50.36,0.95,13.99,11.11,0.19,8.13,11.48,1.39,0.19,0.04,,,255,,,,,,,,,33,,,,1.69,4.5,,5.1,1.44,0.59,,0.4,2.6,0.59,1.7,,1.81,0.32,,1.32,,0.07,
Abitibi,"QUANTITATIVE TRACE-ELEMENT MODELLING OF THE CRYSTALLIZATION HISTORY OF THE KINOJÉVIS AND BLAKE RIVER GROUPS, ABITIBI GREENSTONE BELT, ONTARIO",86-6A,BASALT,48.5,-79.03,2710,2710,2710,2698,2704,2710,0.99284476,52.45,1.05,16.44,8.55,0.13,6.74,8.56,2.25,0.47,0.04,,,172,,,,,,,,,96,,,,10,21.8,,11.1,2.7,0.88,,0.51,3.4,0.7,1.7,,1.9,0.31,,0.93,,1.14,
Abitibi,"QUANTITATIVE TRACE-ELEMENT MODELLING OF THE CRYSTALLIZATION HISTORY OF THE KINOJÉVIS AND BLAKE RIVER GROUPS, ABITIBI GREENSTONE BELT, ONTARIO",F-462,BASALT,48.4,-81.3,2710,2710,2710,2698,2704,2710,0.992316484,50.88,2.54,12.04,16.23,0.24,4.62,7.14,3.73,0.8,0.23,,,6,,,,,,,,,103,,,,6,15.4,,13.4,4.3,1.7,,1.21,6.3,1.36,4.3,,4.3,0.7,,14.74,,0.46,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",4,BASALT,16.15,76.65,2500,3175,3850,2527,2586,2645,0.131693736,50.02,0.79,13.2,14.62,0.14,4.9,11.4,2.2,0.16,0.16,,,,,,,,,3,75,17,32,,,118,11.3,25.9,,,5.8,1.74,7.4,,,,,,5.63,,,,,,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",5,BASALT,16.15,76.65,2500,3175,3850,2527,2586,2645,0.984303772,50.36,0.82,13.22,13.26,0.16,7,10.05,2.24,0.3,0.19,,,,,,,,,4,148,9,33,,,105,4.75,13.4,,,2.4,0.68,2.76,,,,,,1.9,,,,,,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",2,BASALT,13.13,78.13,2500,3175,3850,2527,2586,2645,0.999854684,51.02,0.69,12.19,12.52,0.14,6.7,11.23,2.17,0.12,0.14,,,,,,,,,3,81,22,64,,,71,7.18,34.9,,,4.6,1.5,5.3,,,,,,4.2,,,,,,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",1,BASALT,13.13,78.13,2500,3175,3850,2527,2586,2645,0.734544873,51.69,0.65,12.2,11.02,0.22,9.93,8.92,2.71,0.14,0.18,,,,,,,,,3,172,19,72,,,31,2.32,5.3,,,0.9,0.24,1.05,,,,,,0.78,,,,,,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",3,BASALT,13.13,78.13,2500,3175,3850,2527,2586,2645,0.987030566,49.35,0.75,12.21,13.31,0.21,8.95,10.61,2.23,0.18,0.15,,,,,,,,,5,146,16,53,,,82,1.51,4.3,,,0.62,0.2,0.7,,,,,,0.68,,,,,,
Karnataka,"RARE EARTH ELEMENT GEOCHEMISTRY OF METABASALTS FROM KOLAR AND HUTTI GOLD-BEARING VOLCANIC BELTS, KARNATAKA CRATON, INDIA",6,BASALT,16.15,76.65,2500,3175,3850,2527,2586,2645,0.998336256,51.01,0.69,13.3,12.42,0.22,7.03,10.62,1.82,0.33,0.13,,,,,,,,,6,180,13,105,,,116,4.48,14.1,,,2.53,0.64,2.55,,,,,,2.21,,,,,,
Dharwar,"RB-SR AGES OF LATE ARCHAEAN METAVOLCANICS AND GRANITES, DHARWAR CRATON, SOUTH INDIA AND EVIDENCE FOR EARLY PROTEROZOIC THERMOTECTONIC EVENT(S)",CY-26,BASALT,13.07,77.8,2500,3175,3850,2626,2728,2830,0.147179022,49.69,0.75,13.2,11.46,0.36,7.61,9.63,3.35,0.38,0.13,24,389,777,147,478,,,36,5.3,123,17,10,2.1,,36,7.1,12.4,,5.4,0.8,0.3,0.9,0.2,0.9,,0.4,0.1,0.4,0,0.2,0.5,,,
Dharwar,"RB-SR AGES OF LATE ARCHAEAN METAVOLCANICS AND GRANITES, DHARWAR CRATON, SOUTH INDIA AND EVIDENCE FOR EARLY PROTEROZOIC THERMOTECTONIC EVENT(S)",DNM87-46,ANDESITE,15.1,76.55,2500,3175,3850,2679,2719,2759,0.721667051,52.43,0.76,14.2,10.12,0.01,7.11,11.04,1.46,0.96,0.06,43,277,410,64,179,,,12,20,97,22,35,5,,176,3.6,10.7,,5.4,1.8,0.7,2.5,0.4,2.4,,1.4,0.2,1.5,0.2,0.5,1,,,
Dharwar,"RB-SR AGES OF LATE ARCHAEAN METAVOLCANICS AND GRANITES, DHARWAR CRATON, SOUTH INDIA AND EVIDENCE FOR EARLY PROTEROZOIC THERMOTECTONIC EVENT(S)",DNM87-50,BASALT,15.1,76.55,2500,3175,3850,2679,2719,2759,0.104296155,50.6,1.11,14.34,12.55,0.01,6.11,9.58,2.87,0.09,0.09,35,263,196,60,113,,,12,1.2,79,24,39,5,,19,5.1,11.9,,8.4,2.7,1,3.1,0.5,3.7,,2.2,0.2,1.7,0.3,1,3,,,
Dharwar,"RB-SR AGES OF LATE ARCHAEAN METAVOLCANICS AND GRANITES, DHARWAR CRATON, SOUTH INDIA AND EVIDENCE FOR EARLY PROTEROZOIC THERMOTECTONIC EVENT(S)",YB-44,BASALT,13.53,75.8,2500,3175,3850,2626,2728,2830,0.217163816,52.9,1.25,14.19,10.83,0.17,3.89,8.35,3,0.99,0.16,37,434,76,122,123,,,51,17,351,28,27,5,,250,21.5,37.4,,18.2,3.2,1,2.6,0.4,2.2,,1.2,0.2,0.5,0.1,0.3,0.5,,,
Dharwar,"RB-SR AGES OF LATE ARCHAEAN METAVOLCANICS AND GRANITES, DHARWAR CRATON, SOUTH INDIA AND EVIDENCE FOR EARLY PROTEROZOIC THERMOTECTONIC EVENT(S)",YBL-210,BASALT,14.27,75.35,2500,3175,3850,2458,2520,2582,0.630431294,53.67,1.82,13.47,9.61,0.33,4.4,6.17,4.01,0.01,0.36,28,153,125,28,52,,,14,0.4,130,21,166,7,,26,36.1,82.4,,42.1,6.9,1.5,3.9,0.7,3.2,,1.6,0.3,2,0.3,3,0.5,,,
Yilgarn,"RECONSTRUCTING THE EVENT STRATIGRAPHY FROM THE COMPLEX STRUCTURAL - STRATIGRAPHIC ARCHITECTURE OF AN ARCHAEAN VOLCANIC - INTRUSIVE - SEDIMENTARY SUCCESSION: THE BOORARA DOMAIN, EASTERN GOLDFIELDS SUPERTERRANE, WESTERN AUSTRALIA",110,BASALT,-30.5165,121.585,2500,3175,3850,2665,2686.5,2708,0.052174695,45.8,,8.6,,,12.6,,,,,,158,880.8,,252.6,,,,,,,,,,,3.3,9.1,1.5,7.7,2.3,0.7,2.2,0.4,2.4,0.5,1.3,0.2,1.1,0.2,,,,,
Yilgarn,"RECONSTRUCTING THE EVENT STRATIGRAPHY FROM THE COMPLEX STRUCTURAL - STRATIGRAPHIC ARCHITECTURE OF AN ARCHAEAN VOLCANIC - INTRUSIVE - SEDIMENTARY SUCCESSION: THE BOORARA DOMAIN, EASTERN GOLDFIELDS SUPERTERRANE, WESTERN AUSTRALIA",HLPXM,BASALT,-30.5147,121.584,2500,3175,3850,2665,2686.5,2708,0.99950695,50.2,,12.6,,,6.1,,,,,,293.7,29.8,,37.4,,,,,,,,,,,3.5,9.2,1.5,7.4,2.3,0.8,2.4,0.5,3.1,0.7,2,0.3,1.8,0.3,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-15,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999295592,49.2,0.56,13.3,9.99,0.2,12,11.3,0.38,1.89,0.03,,,400,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-10,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,47.9,0.56,12,11.34,0.21,12.2,13.7,0.01,0.74,0.04,,,708,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-13,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,49.2,0.44,10.2,10.8,0.22,14.7,11.6,0.73,0.74,0.03,,,1139,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-14,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,48.7,0.56,13.7,10.71,0.21,9.2,13.5,0.15,1.93,0.04,,,327,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-8,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,50.5,0.64,14.6,11.07,0.18,8.4,10.2,2.06,1.06,0.05,,,303,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-9,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,47.8,0.56,12.7,11.61,0.22,12.5,11.6,0.36,1.1,0.04,,,888,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF KOMATIITES AND KOMATIITIC BASALTS AT DUNDONALD BEACH, ONTARIO, CANADA: EVIDENCE FOR A COMPLEX ALTERATION HISTORY AND IMPLICATIONS OF A LATE-ARCHEAN CHONDRITIC MANTLE SOURCE",DUNBCH-7,BASALT,48.2,-80.1,2700,2700,2700,2710,2714.5,2719,0.999934673,50.3,0.55,11.7,10.44,0.22,12.6,11.2,0.97,0.75,0.04,,,1022,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"RE-OS SYSTEMATICS OF THE 2.7-GA KOMATIITE FROM ALEXO, ONTARIO, CANADA",ALX-5W,BASALT,48.47,-81.4,2700,3275,3850,2686,2762,2838,0.999934673,47.73,0.59,11.26,10.57,0.19,11.62,17.04,0.09,0.01,0.04,,,840,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3135,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.999937177,47.94,0.87,14.53,12.57,0.21,5.59,10.48,2.26,0.09,0.1,,,,,85,92,86,,2,139,19,55,2.5,,33,3,6,,4,1.5,0.6,,0.5,,,,,1.72,0.33,,5404,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",12403,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.006657068,45.77,0.74,14.03,11.92,0.16,11.91,11.43,1.44,0.37,0.07,,,,,95,234,81,,3,112,19,67,3,,57,3,8,,6,1.8,0.73,,0.5,,,,,2.17,0.33,,5410,,,0.1
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3141,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.069311418,48.15,0.88,13.72,12.35,0.18,5.78,11.72,2.52,0.11,0.09,,,,,66,118,76,,7,133,15,53,3.5,,7,2.5,8,,4.5,1.6,0.84,,0.4,,,,,1.93,0.36,,5475,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",12407,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.070407972,46.18,0.79,13.49,12.4,0.17,9.35,13.64,0.04,0.14,0.07,,,,,126,66,65,,3,121,21,70,3.5,,69,3,11,,6.5,2.1,0.77,,0.6,,,,,2.39,0.34,,5856,,,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3217,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.004994416,46.92,1.5,14.27,13.56,0.18,5.65,9.75,1.82,0.04,0.12,,,,,47,87,100,,3,251,33,91,5.5,,11,5,15,,9.5,40,2.24,,0.6,,,,,3.58,0.69,,9486,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3096,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.000213529,51.06,0.86,14.4,10.26,0.23,3.33,10.99,0.78,0.1,0.1,,,,,63,114,75,,2,113,26,75,4,,61,8,17,,8,1.9,0.74,,5,,,,,1.99,0.38,,5240,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3084,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.00049935,47.62,0.91,13.63,2.93,0.16,5.93,11.89,1.07,0.12,0.14,,,,,60,98,78,,2,199,19,69,3,,55,4,11,,7.5,2,0.89,,0.5,,,,,2,0.4,,5741,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",12400,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.267954797,46.48,0.7,13.29,11.91,0.18,9.38,6.35,4.18,0.11,0.06,,,,,156,102,63,,2,104,19,59,2.5,,473,3.1,8,,5,1.7,0.8,,0.4,,,,,1.93,0.28,,5286,,,0.2
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3106,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.123928614,49.4,0.81,14.37,9.23,0.15,2.7,10.94,2.77,2.3,0.1,,,,,95,84,61,,11,136,17,77,4.5,,85,3.5,10,,6,2,0.96,,0.6,,,,,2.55,0.4,,4849,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3161,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.36995095,47.93,1.23,13.66,13.84,0.16,5.7,8.83,2.11,0.23,0.27,,,,,44,110,86,,2,131,22,68,3.5,,29,2,6,,4.5,1.8,0.79,,0.6,,,,,2.34,0.46,,7810,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",12411,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.005703919,46.4,0.78,14.73,13.26,0.15,10.63,8.93,2.17,0.4,0.07,,,,,85,61,72,,4,129,23,72,4,,73,3.4,10,,7,2,0.89,,0.7,,,,,2.42,0.32,,6213,,,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3309,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.000762009,49.25,0.81,14.15,11.86,0.16,6.85,11.65,3.05,0.22,0.08,,,,,85,15,105,,13,103,24,44,2.5,,60,6,13,,6,1.7,0.85,,0.5,,,,,2.69,0.41,,4855,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3254A,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.003247405,51.77,0.58,12.12,11.2,0.12,12.97,8,0.97,0.04,0.1,,,,,126,74,91,,2,148,11,31,1.5,,16,7,12,,8,1.8,0.67,,0.3,,,,,1.27,0.24,,2931,,0,0
Yilgarn,"ROLE OF CRUSTAL CONTAMINATION IN HETEROGENEOUS ARCHEAN VOLCANICS FROM THE LEONORA REGION, WESTERN AUSTRALIA",3122,BASALT,-29,122,2500,3175,3850,2750,2785,2820,0.008913966,46.3,0.85,14.61,10.6,0.18,3.89,12.02,3.11,0.29,0.07,,,,,88,64,74,,8,130,21,60,4,,68,4,10,,6,2,0.95,,0.5,,,,,2.1,0.39,,6330,,0,0
Eastern Dharwar,SIGNIFICANCE OF THE ARCHEAN BIMODAL VOLCANICS FROM THE RAMNAGIRI SCHIST BELT IN THE FORMATION OF EASTERN DHARWAR CRATON,RM#29,BASALT,14.25,77.55,2500,3175,3850,2682,2746,2810,0.000860039,52.12,1.48,13.3,10.2,1.5,3.5,7.01,2.94,1.62,,,,27,,37,,,,,292,44,150,,,159,,,,,,,,,,,,,,,,,,,
Eastern Dharwar,SIGNIFICANCE OF THE ARCHEAN BIMODAL VOLCANICS FROM THE RAMNAGIRI SCHIST BELT IN THE FORMATION OF EASTERN DHARWAR CRATON,RM#72,BASALT,14.25,77.55,2500,3175,3850,2682,2746,2810,0.999943852,47.4,2.08,12.7,18,0.13,6.64,6.21,2.67,0.48,0.38,,,90,,178,,,,,284,33,101,,,55,,45.44,,23.24,5.13,1.41,4.61,,3.47,,1.91,,1.69,,,,,,
