NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
2.64,6.7,14.6,51.7,0.17,0.59,10.2,1.43,0.16,,12.35,251.0,242.0,38.7,113.0,69.9,218.0,29.9,106.0,8.47,6.62,16.3,2.38,12.1,3.78,1.33,4.47,0.77,5.26,1.14,3.06,2.88,0.418,2.69,0.52,0.73,BACK-ARC_BASIN,114.923,13.2072,,2018
3.91,5.85,17.0,51.5,0.16,0.37,10.61,1.39,0.16,8.5,2.9,249.0,37.0,,33.0,66.0,352.0,25.0,112.0,4.0,6.53,16.74,2.54,12.55,3.51,1.23,3.85,0.71,4.2,0.89,2.49,2.34,0.36,2.67,0.27,0.51,BACK-ARC_BASIN,-59.6483,-62.7867,,2002
2.63,6.05,16.12,51.45,0.47,1.45,11.4,0.72,0.19,,21.0,305.0,207.0,,78.0,119.0,395.0,18.0,52.0,4.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,120.68,8.6782,,1991
3.07,6.59,18.46,46.07,0.21,0.12,11.13,1.07,0.13,,144.0,144.0,350.0,45.0,184.0,18.0,222.0,,58.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,117.0,15.3923,,2015
2.35,7.86,14.65,49.5,0.1,0.1,12.59,1.44,0.18,,2.0,285.0,197.0,44.0,79.0,25.0,104.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.385,-19.8783,,1991
1.57,8.05,15.13,52.51,0.18,0.28,11.62,0.62,0.15,,7.0,,,,114.0,,150.0,20.0,38.0,1.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-176.775,-20.709,,1994
2.6593,7.6284,18.2196,48.717,0.0844,0.1939,12.0899,0.9959,0.1172,7.81,3.22965883254718,187.435546242342,341.023430963786,,,6.05648634825394,126.85233502404,24.0039256980944,58.7267810061269,1.49934935205308,2.12029986902151,6.7506925333184,1.08336339680724,6.53407083232607,2.71985411406742,1.11496976009101,4.08452725736544,0.711412608001703,4.83337638207883,1.00092891203801,2.97570411016306,2.55281121984395,0.445734770178156,1.56616291579379,0.174202444967847,0.200010482668963,BACK-ARC_BASIN,139.748,21.566,NEOGENE,2010
2.53828,7.98048,16.46788,48.28388,0.17556,0.46706,12.0685,1.51298,0.18438,9.99538,12.2030619403388,244.757008020341,280.364870076956,48.1048436622005,161.709594275707,90.8711882964102,240.146744771128,17.2581780380453,89.7599366977148,10.9999757275817,7.88847500099026,17.118841928029,2.48276408768985,11.0191662334931,3.06510965534018,1.0413304308755,3.31100926571346,0.523232571741525,3.25678188670823,0.608723927163703,1.97987204684494,1.82054497210393,0.230853949854777,2.24198325603112,0.723633905663591,0.804418812358197,BACK-ARC_BASIN,-176.0,-14.73,,2012
2.52,7.78,14.88,49.5,0.1,0.07,12.19,1.55,0.18,,2.0,285.0,297.0,43.0,94.0,30.0,94.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.518,-18.5437,,1991
2.02,7.41,16.96,48.03,0.17,0.17,12.52,1.04,0.19,,1.84,323.2,154.5,45.7,55.2,13.72,352.0,19.3,35.8,0.73,2.59,7.63,1.41,7.48,2.31,0.88,2.88,0.49,3.11,0.7,1.91,1.7,0.25,0.98,0.27,0.133,BACK-ARC_BASIN,139.467,32.0667,,2000; 2001; 2010
3.06,6.89,16.2,51.0,0.15,0.25,11.05,1.36,0.16,8.08,1.0,220.0,,,85.0,21.0,192.0,30.0,102.0,2.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.83,18.2,,1990
2.46,6.18,13.5,51.3,0.1,0.06,10.27,1.42,0.22,13.47,0.79,455.0,46.1,50.5,,8.44,67.5,33.5,67.0,1.16,2.22,7.76,1.45,8.67,3.27,1.18,4.79,0.864,6.43,1.39,4.04,4.25,0.643,2.22,0.086,0.114,BACK-ARC_BASIN,150.359,-3.1135,,2015
2.67,7.77,14.56,49.25,0.2,0.16,11.61,1.78,0.18,,3.5,280.0,268.0,42.0,104.0,20.0,120.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.461,-19.2573,,1991
3.78,5.68,18.77,50.71,0.3,0.68,9.33,1.37,0.13,,7.1,245.0,51.0,,15.0,162.0,387.0,21.2,103.0,8.0,,27.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,138.23,40.19,,1992
2.95,6.52,16.75,51.43,0.19,0.36,11.3,1.12,0.12,7.56,5.0,244.0,,,88.0,48.0,199.0,29.0,88.0,3.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.77,17.96,,1990
2.9,7.37,14.96,51.29,0.149,0.181,11.65,1.63,0.199,9.94,2.13,310.0,356.0,46.9,53.9,30.1,162.0,24.0,79.3,4.57,4.61,13.7,2.02,9.94,3.17,1.25,3.92,0.667,4.24,0.907,2.57,2.54,0.371,1.95,0.267,0.277,BACK-ARC_BASIN,155.419,-9.499,,2023; 2003
1.59,6.97,15.94,52.43,0.08,0.28,12.33,0.55,0.17,7.95,1.98,,183.0,,64.3,20.61,134.2,9.28,84.0,0.74,3.49,7.68,1.65,7.86,2.76,1.34,,0.8,5.44,1.37,3.97,3.83,,,,0.27,BACK-ARC_BASIN,-176.138,-19.1783,,2008
2.71,6.41,15.48,50.08,0.13,0.3,12.22,1.28,0.18,10.38,6.0,244.0,222.0,32.0,52.0,61.0,222.0,26.0,81.0,,,,,,,,,,,,,,,1.27,0.078,,BACK-ARC_BASIN,-175.24,-15.33,,1977
2.36,6.82,17.12,50.36,0.14,0.75,11.53,0.84,0.15,,15.2,301.0,75.0,41.0,49.0,149.0,329.0,17.8,54.0,1.5,8.49,18.81,2.59,11.63,3.1,1.06,3.13,0.5,3.03,0.62,1.76,1.65,0.25,1.37,0.11,1.95,BACK-ARC_BASIN,124.57,25.2,,1999
2.81,8.11,16.0,50.0,0.14,0.09,11.53,1.3,0.15,,2.0,,300.0,,96.0,26.0,148.0,30.0,90.0,3.0,4.0,14.0,,,,,,,,,,,,,,2.0,BACK-ARC_BASIN,137.441,29.3275,,1980
,7.24,15.3,52.7,0.14,0.56,12.3,0.59,0.15,,,,,,,,,,,,4.3,10.0,2.1,6.7,1.7,0.67,1.8,,2.3,,1.3,1.3,0.2,,,,BACK-ARC_BASIN,-176.59,-22.29,,2009
2.86,5.26,16.49,48.32,0.24,0.2,11.48,2.26,0.18,,13.0,290.0,298.0,73.0,95.0,1.0,141.0,35.0,112.0,8.0,5.3,14.0,,11.0,3.82,1.35,,0.9,,,,3.59,0.52,,,0.2,BACK-ARC_BASIN,123.669,5.1448,,1991
2.14,9.25,16.3,47.92,0.14,0.01,12.97,0.71,0.13,,1.0,173.0,,,116.0,18.0,146.0,20.0,49.0,1.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-176.5,-20.142,,1994
2.51,6.25,13.2,45.9,0.47,0.8,9.49,4.45,0.26,13.51,8.0,,32.0,,35.0,193.0,431.0,42.0,312.0,33.0,30.0,68.0,,,,,,,,,,,,,,4.0,BACK-ARC_BASIN,132.775,24.701,,1980
2.52,7.85,14.53,50.0,0.1,0.07,12.06,1.53,0.2,,2.0,278.0,287.0,43.0,89.0,10.0,112.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.371,-19.959,,1991
2.41,7.46,14.32,50.64,0.08,0.09,11.94,1.03,0.18,,1.0,315.0,59.0,,66.0,10.0,80.0,22.0,53.0,0.9,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,149.678,-3.547,,2003
3.04,5.95,14.74,49.69,0.18,0.36,11.08,1.96,0.21,11.33,3.71,,237.0,,76.0,54.6,179.0,24.7,118.0,9.2,5.94,16.5,2.39,13.1,3.79,1.21,,0.71,4.73,0.97,2.6,2.41,0.43,2.6,,0.29,BACK-ARC_BASIN,-176.263,-15.4267,,2012; 2011
1.87,11.56,14.56,50.19,,,12.42,0.73,0.16,,0.06,260.0,290.0,53.4,101.0,2.1,77.5,17.7,30.4,0.34,0.71,2.98,0.58,3.53,1.47,0.61,2.17,0.43,3.04,0.68,1.93,2.03,0.32,0.99,0.03,0.024,BACK-ARC_BASIN,134.318,27.3836,,2018
2.09,8.92,15.88,48.8,0.06,0.01,12.67,0.95,0.18,,,254.0,311.0,50.0,120.0,,79.0,28.0,50.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-176.5,-18.62,,1990
2.76,6.63,16.5,50.0,0.15,0.29,12.49,1.23,0.13,,5.0,,247.0,,57.0,24.0,186.0,29.0,89.0,1.0,2.0,16.0,,,,1.16,,0.7,,,,,,2.2,,0.17,BACK-ARC_BASIN,136.057,28.9833,,1980; 1980
