NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
2.03,9.74,14.91,49.76,0.23,0.81,11.62,0.89,0.19,,18.0,,626.0,32.0,113.0,221.0,319.0,20.0,80.0,,7.0,19.2,,12.9,3.68,1.08,,0.66,,,,2.13,0.3,2.13,0.14,0.56,Continental arc,160.37,55.82,,2000
2.87,8.62,15.13,51.01,0.22,1.1,8.49,1.42,0.15,,29.0,199.0,106.0,,61.0,276.0,345.0,31.0,136.0,15.0,,,,,5.31,,22.5,,,,,,,,,,Continental arc,130.0,33.25,,2008
3.17,5.48,18.01,52.95,0.22,1.15,8.55,0.87,0.15,,20.0,231.0,121.0,34.0,60.0,493.0,641.0,18.0,79.0,3.1,7.89,21.26,2.8,12.41,3.04,0.95,2.6,0.39,2.32,0.48,1.44,1.34,0.2,2.04,0.15,0.69,Continental arc,158.63,55.97,,2001
3.48,7.16,17.2,48.2,0.23,0.82,9.42,1.43,0.14,8.56,27.0,176.0,180.0,39.0,36.0,246.0,644.0,22.0,117.0,10.7,14.2,32.0,,19.0,,1.35,,,3.7,,2.0,1.9,,,,,Continental arc,-1.47,35.3,,1995
3.24,4.87,16.5,50.9,0.53,1.77,8.11,1.7,0.18,10.08,,327.0,44.0,30.5,46.0,492.0,350.0,34.2,183.0,6.4,18.9,43.2,,31.9,6.5,1.91,7.2,1.06,6.1,,,3.6,0.59,6.5,0.35,1.893,Continental arc,160.63,56.2,PLEISTOCENE,1997; 1998
2.78,6.47,14.86,51.6,0.29,1.33,7.61,1.67,0.16,,20.2,,,,,402.9,733.0,16.8,133.0,7.4,14.49,32.63,4.96,21.7,4.92,1.78,4.68,0.64,3.25,0.54,1.34,1.09,0.16,3.16,0.44,1.48,Continental arc,132.36,43.33,CENOZOIC,2002
1.84,8.75,16.81,49.89,0.08,0.39,11.11,0.67,0.15,,6.1,,301.0,49.93,103.0,93.88,163.9,19.0,47.0,2.43,4.07,9.66,1.34,6.45,2.0,0.67,2.47,0.45,3.01,0.64,1.87,1.78,0.28,1.32,0.14,0.54,Continental arc,140.702,37.793,MIOCENE,1985; 2013
3.85,5.59,17.92,49.34,0.63,1.3,8.57,1.93,0.15,8.94,28.0,,93.0,31.0,43.0,358.0,922.0,17.0,209.0,,37.0,72.0,,,6.7,2.8,,0.7,,,,2.2,0.2,,,3.2,Continental arc,134.7,35.5,,1990
3.7,6.79,17.5,50.5,0.43,1.07,9.37,1.49,0.17,9.36,13.0,243.0,153.0,42.0,74.0,372.0,619.0,24.0,142.0,9.0,14.83,35.08,4.77,20.87,4.87,1.57,5.01,0.75,4.67,0.93,2.68,2.4,0.37,3.17,0.5,1.24,Continental arc,160.095,57.391,QUATERNARY,2010
4.48,7.91,15.7,48.82,0.65,0.85,8.76,2.59,0.16,10.07,41.0,199.0,208.1,38.9,143.0,706.0,672.0,28.0,216.0,61.0,40.6,78.9,,34.3,7.7,2.4,,1.4,,,,2.2,0.3,4.9,3.9,6.2,Continental arc,130.273,33.696,CENOZOIC,1993; 2003
2.46,6.58,17.0,48.6,0.38,1.91,11.8,1.05,0.19,,60.0,277.0,50.0,35.0,44.0,886.0,777.0,27.0,150.0,19.0,50.0,89.0,,41.0,,,,,,,,,,,,16.0,Continental arc,15.21,38.79,,2004
1.89,9.44,14.23,48.81,0.37,0.72,8.69,2.1,0.19,,47.8,202.0,117.0,,72.0,450.0,262.0,23.0,186.0,23.0,32.1,57.1,6.67,27.5,5.57,1.72,5.63,0.89,5.11,0.98,2.61,2.23,0.37,4.86,2.1,6.64,Continental arc,130.25,33.25,,2009
3.092,5.387,16.233,51.113,0.539,1.776,8.945,1.61,0.162,10.26,57.4806213,,113.152657,,43.4806366,460.22876,394.139008,41.9339218,250.904297,5.08571148,17.7427711,43.4361916,6.07001972,28.8612862,7.23116827,2.01357985,7.62671137,1.14163899,6.98816061,1.2373054,3.92573261,4.08926678,0.633058012,4.87031507,0.235164002,1.88353252,Continental arc,160.391,55.783,,2015
2.67,4.88,16.96,52.11,0.57,3.55,9.16,0.91,0.15,7.44,130.0,244.0,38.9,27.2,30.4,1445.0,676.0,27.3,184.0,22.7,48.5,99.3,,46.3,9.07,2.24,,0.99,,,,2.5,0.39,4.86,1.42,20.6,Continental arc,15.221,38.812,,2011
3.03,6.2,17.02,52.75,0.36,0.91,7.72,1.18,0.15,8.87,14.4,,328.0,37.9,111.0,148.0,413.0,27.3,134.0,5.8,12.4,30.6,,,4.4,1.5,,0.78,,,,2.4,0.35,3.04,0.46,1.44,Continental arc,137.5,35.75,NEOGENE,1993; 1999
2.41,8.15,15.36,49.92,0.3,0.21,8.77,1.3,0.19,,,228.5,345.0,,187.0,,232.7,,,,,,,,,,,,,,,,,,,,Continental arc,130.25,33.25,,2005
1.974,5.766,16.785,52.033,0.078,0.245,10.049,0.867,0.171,,4.284,309.471,90.812,36.305,20.764,117.326,251.661,26.461,50.393,2.082,,,,,,,,,,,,,,,,,Continental arc,140.858,39.931,,2017
2.4,9.3,16.15,49.95,0.08,0.3,10.37,0.72,0.16,8.69,5.95,249.0,,,,97.2,248.0,17.2,41.6,1.4,3.44,8.51,1.27,6.23,1.81,0.734,2.25,0.408,2.64,0.582,1.64,1.8,0.281,1.18,0.091,0.442,Continental arc,140.85,37.75,MIOCENE,2015
3.49,6.05,15.53,51.29,0.42,1.4,7.98,2.01,0.15,,29.0,182.0,19.0,,3.0,384.0,654.0,19.0,187.0,20.0,,,,,5.74,,17.7,,,,,,,,,,Continental arc,131.45,33.25,,2008
2.83494753833737,4.70137207425343,15.4358353510896,50.90799031477,0.262308313155771,1.22074253430186,9.46327683615819,1.14003228410008,0.232041969330105,12.42,27.0,399.0,18.0,46.0,2.0,827.0,409.0,24.0,97.0,4.0,14.0,23.0,4.0,,,,,,,,,,,,,4.0,Continental arc,-86.0,12.0,HOLOCENE,2020
2.2,6.37,17.97,49.61,0.13,0.31,11.78,0.93,0.18,8.05,5.16,300.07,,70.01,,105.28,295.45,22.4,57.74,3.82,5.67,13.59,1.94,9.2,2.58,0.91,3.21,0.55,3.6,0.77,2.26,2.09,0.33,1.58,0.24,0.52,Continental arc,140.5,37.5,,2013
3.315,4.585,16.654,50.238,0.536,1.808,7.901,1.696,0.156,10.79,87.6992722,,30.935606,,57.8376732,527.434875,296.538788,55.1853981,424.04422,8.76980114,23.7514591,58.8890648,8.14548779,38.6559448,9.46138859,2.52564096,10.0799627,1.4872061,9.07310009,1.57802606,4.97347069,5.15418053,0.797940433,7.57905865,0.510195971,2.91823602,Continental arc,160.233,55.77,,2015
2.718,9.302,14.814,51.349,0.152,0.583,9.411,0.942,0.168,8.94,10.771,252.276,446.704,40.634,127.955,206.167,270.795,20.914,71.982,1.668,4.801,12.56,1.989,9.762,2.809,0.95,3.269,0.544,3.418,0.725,2.077,1.923,0.297,1.975,0.106,0.45,Continental arc,160.812,56.118,,2017
